玛丽和马克思,2009,8.9,390762人评价
怪兽电力公司,2001,8.8,591391人评价
大鱼,2003,8.8,514295人评价
教父3,1990,9.0,323688人评价
告白,2010,8.8,616708人评价
一个叫欧维的男人决定去死,2015,8.9,397478人评价
傲慢与偏见,2005,8.7,704139人评价
神偷奶爸,2010,8.6,858840人评价
阳光姐妹淘,2011,8.8,548124人评价
玩具总动员3,2010,8.9,455082人评价
射雕英雄传之东成西就,1993,8.7,572974人评价
釜山行,2016,8.6,1067342人评价
恐怖直播,2013,8.7,583968人评价
寄生虫,2019,8.8,1227884人评价
被解救的姜戈,2012,8.8,542355人评价
未麻的部屋,1997,9.0,273817人评价
哪吒闹海,1979,9.1,228005人评价
血战钢锯岭,2016,8.7,711741人评价
头号玩家,2018,8.7,1228403人评价
哈利·波特与火焰杯,2005,8.7,553968人评价
我是山姆,2001,9.0,292837人评价
七武士,1954,9.3,173233人评价
新世界,2013,8.9,347030人评价
喜宴,1993,8.9,309957人评价
模仿游戏,2014,8.7,562020人评价
黑客帝国3：矩阵革命,2003,8.8,403579人评价
电锯惊魂,2004,8.7,470230人评价
花样年华,2000,8.7,525866人评价
卢旺达饭店,2004,8.9,289538人评价
三块广告牌,2017,8.7,742107人评价
头脑特工队,2015,8.8,537597人评价
你的名字。,2016,8.5,1241552人评价
疯狂原始人,2013,8.7,763522人评价
上帝之城,2002,9.0,274079人评价
达拉斯买家俱乐部,2013,8.8,404991人评价
谍影重重3,2007,8.8,378755人评价
风之谷,1984,8.9,325564人评价
英雄本色,1986,8.6,471863人评价
心迷宫,2014,8.7,454887人评价
纵横四海,1991,8.8,372134人评价
惊魂记,1960,9.0,242288人评价
九品芝麻官,1994,8.6,573727人评价
岁月神偷,2010,8.7,532810人评价
记忆碎片,2000,8.7,547123人评价
海街日记,2015,8.8,389337人评价
忠犬八公物语,1987,9.2,172089人评价
荒蛮故事,2014,8.8,393420人评价
绿里奇迹,1999,8.9,282232人评价
爱在午夜降临前,2013,8.8,336780人评价
爆裂鼓手,2014,8.7,513076人评价
贫民窟的百万富翁,2008,8.6,679629人评价
真爱至上,2003,8.6,660623人评价
小偷家族,2018,8.7,741913人评价
东邪西毒,1994,8.6,523884人评价
无敌破坏王,2012,8.7,477744人评价
色，戒,2007,8.6,658051人评价
疯狂的石头,2006,8.5,727649人评价
冰川时代,2002,8.6,553612人评价
黑天鹅,2010,8.6,725467人评价
